time,file,result,length
2024-05-07 20:27:10.194055+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030338.png,SUCCESS,0.211163027
2024-05-07 20:27:10.201603+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030310.png,SUCCESS,0.238469677
2024-05-07 20:27:10.210126+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030304.png,SUCCESS,0.353121194
2024-05-07 20:27:10.218116+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030305.png,SUCCESS,0.388448129
2024-05-07 20:27:10.226370+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030311.png,SUCCESS,0.266272781
2024-05-07 20:27:10.232185+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030339.png,SUCCESS,0.222883845
2024-05-07 20:27:10.238906+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030271.png,SUCCESS,0.228862414
2024-05-07 20:27:10.247972+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030265.png,SUCCESS,0.295474894
2024-05-07 20:27:10.255341+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030259.png,SUCCESS,0.28112411
2024-05-07 20:27:10.262847+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030298.png,SUCCESS,0.408389018
2024-05-07 20:27:10.271449+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030273.png,SUCCESS,0.26782848
2024-05-07 20:27:10.277068+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030267.png,SUCCESS,0.307678401
2024-05-07 20:27:10.283836+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030307.png,SUCCESS,0.39701492
2024-05-07 20:27:10.292497+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030312.png,SUCCESS,0.256117061
2024-05-07 20:27:10.307726+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030306.png,SUCCESS,0.392374878
2024-05-07 20:27:10.317183+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030266.png,SUCCESS,0.310643904
2024-05-07 20:27:10.321952+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030272.png,SUCCESS,0.237334652
2024-05-07 20:27:10.326872+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030299.png,SUCCESS,0.397484308
2024-05-07 20:27:21.371958+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030009.png,SUCCESS,0.366134755
2024-05-07 20:27:21.378685+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030010.png,SUCCESS,0.342881954
2024-05-07 20:27:21.384684+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030011.png,SUCCESS,0.34158062
2024-05-07 20:27:21.389803+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030012.png,SUCCESS,0.340788557
2024-05-07 20:27:21.395321+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030013.png,SUCCESS,0.365052872
2024-05-07 20:27:21.401748+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030014.png,SUCCESS,0.382595905
2024-05-07 20:27:21.407507+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030015.png,SUCCESS,0.382451518
2024-05-07 20:27:21.413551+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030016.png,SUCCESS,0.381382708
2024-05-07 20:27:21.419708+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030017.png,SUCCESS,0.349049486
2024-05-07 20:27:21.425344+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030019.png,SUCCESS,0.290925364
2024-05-07 20:27:21.429648+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030020.png,SUCCESS,0.310729018
2024-05-07 20:27:21.433459+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030021.png,SUCCESS,0.327419338
2024-05-07 20:27:21.437106+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030022.png,SUCCESS,0.193455875
2024-05-07 20:27:21.441035+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030023.png,SUCCESS,0.322884264
2024-05-07 20:27:21.444857+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030024.png,SUCCESS,0.311640253
2024-05-07 20:27:21.448497+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030025.png,SUCCESS,0.286591719
2024-05-07 20:27:21.452201+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030026.png,SUCCESS,0.198529204
2024-05-07 20:27:21.455670+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030027.png,SUCCESS,0.18579396
2024-05-07 20:27:21.459363+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030028.png,SUCCESS,0.231780998
2024-05-07 20:27:21.463083+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030030.png,SUCCESS,0.273172654
2024-05-07 20:27:21.466875+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030031.png,SUCCESS,0.258307538
2024-05-07 20:27:21.470636+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030032.png,SUCCESS,0.279978953
2024-05-07 20:27:21.474114+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030033.png,SUCCESS,0.172307256
2024-05-07 20:27:21.477612+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030035.png,SUCCESS,0.280773109
2024-05-07 20:27:21.481201+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030036.png,SUCCESS,0.142156745
2024-05-07 20:27:21.485117+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030037.png,SUCCESS,0.273091436
2024-05-07 20:27:21.488976+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030038.png,SUCCESS,0.275402114
2024-05-07 20:27:21.494335+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030039.png,SUCCESS,0.232559573
2024-05-07 20:27:21.498456+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030040.png,SUCCESS,0.204009639
2024-05-07 20:27:21.502518+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030041.png,SUCCESS,0.169506971
2024-05-07 20:27:21.506602+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030043.png,SUCCESS,0.176329838
2024-05-07 20:27:21.510602+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030044.png,SUCCESS,0.175809967
